time,unemployment_rate,unemployment_rate_seas,subemployment_rate
2020-11-01,0.04545827615617,0.043711510171550005,0.03870569065194
2020-10-01,0.04651642661491,0.04697674962554,0.04571049956076
2020-09-01,0.047539047365720004,0.05088547137619,0.04514965130621
2020-08-01,0.049370086037179996,0.05240502465774,0.051586099623789995
2020-07-01,0.0505859254089,0.05387195461913,0.06344423084518
2020-06-01,0.05343433538951001,0.05492170984831,0.048372288398979994
2020-05-01,0.04236242275071,0.0419274123,0.027209581799999997
2020-04-01,0.04746228862507,0.046746823800000004,0.041828122499999995
2020-03-01,0.03264199759862,0.0293623402,0.030006439500000003
2020-02-01,0.0370245235155,0.035711979,0.0362071328
2020-01-01,0.03659647289364,0.0379071444,0.039869955400000004
2019-12-01,0.03136818601132,0.0290582251,0.027096319100000002
2019-11-01,0.03561359327353,0.0344158846,0.0366791188
2019-10-01,0.03612915082833,0.0364855318,0.036126595899999996
2019-09-01,0.03536545803223,0.0380020432,0.037722582899999996
2019-08-01,0.03522411041025,0.0373528496,0.0355332636
2019-07-01,0.03503376644708,0.037132607399999996,0.0399156289
2019-06-01,0.0349265217842,0.0356588516,0.0359108426
2019-05-01,0.03537502795637,0.0351213517,0.0360378611
2019-04-01,0.03539795778406,0.0349959409,0.0355445569
2019-03-01,0.035995581354900004,0.0324544326,0.0338464987
2019-02-01,0.03422378701096,0.0329943176,0.034700267400000005
2019-01-01,0.03471019630919,0.0356775405,0.0375945128
2018-12-01,0.03612666993981,0.0335449462,0.032397372199999996
2018-11-01,0.03356021197181,0.0326346553,0.0343605593
2018-10-01,0.03191763392377,0.032383940400000005,0.0361480411
2018-09-01,0.033470526695570005,0.0360037254,0.0389590916
2018-08-01,0.032746171715769996,0.0346852407,0.0393871671
2018-07-01,0.03299694659752,0.0347763888,0.0382740293
2018-06-01,0.03344197927933,0.0338527594,0.0325729395
2018-05-01,0.03228656016531,0.0322184807,0.0315072078
2018-04-01,0.03426102890644,0.03398701,0.0335335258
2018-03-01,0.03253362600682,0.0293962909,0.0300039346
2018-02-01,0.03320580994399,0.0320505718,0.035171416500000004
2018-01-01,0.03319999785343,0.0338919158,0.0333496442
2017-12-01,0.033680321687279996,0.0312786122,0.0296338585
2017-11-01,0.03503732453327,0.0341921411,0.0400668741
2017-10-01,0.03444356159334,0.0350177064,0.0379207463
2017-09-01,0.03341837024581,0.0359753175,0.0360756433
2017-08-01,0.033268830129140003,0.0352564758,0.0395176118
2017-07-01,0.03240521146132,0.034103412799999996,0.0344274967
2017-06-01,0.03251336309341,0.032667071,0.034331205100000005
2017-05-01,0.035544054285170004,0.0356226757,0.0376969863
2017-04-01,0.0348687513044,0.0346470519,0.0368693961
2017-03-01,0.03529813000222,0.031887216,0.0345679536
2017-02-01,0.03481429329465,0.033712941,0.034263928199999995
2017-01-01,0.03532662736599,0.035924882,0.038144705
2016-12-01,0.0364422066719,0.033710286,0.0335705866
2016-11-01,0.03599013438986,0.0351486793,0.0346583075
2016-10-01,0.03588276037212,0.0367093013,0.0367399591
2016-09-01,0.03848736716013,0.0413839194,0.0443705075
2016-08-01,0.03772522121832,0.040038331999999996,0.0428813348
2016-07-01,0.03810651960013,0.0400708718,0.041444597300000004
2016-06-01,0.03931931047858,0.039303389599999995,0.040934394000000006
2016-05-01,0.04013264520924,0.040338131,0.041089743600000006
2016-04-01,0.038226007688510005,0.0379895766,0.036907332699999996
2016-03-01,0.041428188789040005,0.0373772355,0.0360041547
2016-02-01,0.042726203073990006,0.04145911360000001,0.0434104837
2016-01-01,0.0414608604762,0.042363687,0.0421666926
2015-12-01,0.04321790326628,0.0396267474,0.038760493
2015-11-01,0.0405716579064,0.039595584499999996,0.0405393341
2015-10-01,0.04441049650342,0.045512296599999995,0.0497519983
2015-09-01,0.04187682651606,0.0449763049,0.0461701037
2015-08-01,0.04389414409694,0.0468048476,0.049530210500000005
2015-07-01,0.04479755198755,0.047173610000000005,0.0510478063
2015-06-01,0.04418266600513,0.044052392200000005,0.0498990849
2015-05-01,0.04430937040897,0.044461317400000006,0.0468290663
2015-04-01,0.04355073604332001,0.0431373113,0.044253384300000004
2015-03-01,0.042862817434649994,0.0386297662,0.039975829
2015-02-01,0.0443631864739,0.0432517157,0.0433297251
2015-01-01,0.043806817513979995,0.0451312553,0.043645683799999994
2014-12-01,0.041383472254480004,0.037574058300000004,0.0367200976
2014-11-01,0.04639848487961,0.0452768527,0.04590256400000001
2014-10-01,0.04652556277013,0.047754956,0.049022052
2014-09-01,0.047589069631039996,0.050922036999999996,0.04995559379656
2014-08-01,0.04838042454124,0.0518894986,0.0546005826302
2014-07-01,0.05194980973018,0.0547044354,0.05385757086358
2014-06-01,0.04831199280729,0.0481508621,0.04866459915337
2014-05-01,0.04950249668718001,0.0494215861,0.05185646567103
2014-04-01,0.04911524162162,0.0485187491,0.044369204665830005
2014-03-01,0.05329662048479,0.047961066700000006,0.049976027216040005
2014-02-01,0.04756711626366,0.0466156322,0.04800981899222
2014-01-01,0.04881015271735,0.050685195700000005,0.050111642250559994
2013-12-01,0.04730835746235,0.0426655125,0.04293966333998
2013-11-01,0.04581984243512,0.044846217800000004,0.04422253066372
2013-10-01,0.048920153537509996,0.050097837299999996,0.05023596838832
2013-09-01,0.049651019699769997,0.05305093,0.05540449598309
2013-08-01,0.0481633810285,0.0518310622,0.05315123410178
2013-07-01,0.04871850352046,0.051315858299999996,0.05389715518315
2013-06-01,0.05034327158747,0.0499953497,0.05402739202893
2013-05-01,0.049684288125240006,0.0491098239,0.04888507845238
